"","Secnam","Elas","TaxRate"
"1","pdr",0.681889138714106,39.955279701186
"2","wht",0.517505808298346,31.6908050910559
"3","gro",0.517505808298346,31.6908050910559
"4","v_f",0.78655474654516,46.6463205684766
"5","osd",0.719485920745048,42.4018207069956
"6","c_b",0.653023215834705,38.3052704752594
"7","pfb",1.10115160514157,65.6275621385364
"8","ocr",0.517505808298346,31.6908050910559
"9","ctl",1.00379235140868,59.3400522709659
"10","oap",0.877743552126495,51.9558824439518
"11","rmk",0.877412227423583,51.80016786142
"12","wol",1.10115160514157,65.6275621385364
"13","frs",1.06067277063131,63.2289554786228
"14","fsh",1.03769144354814,61.8765371989607
"15","coa",0.575051940415581,36.1171686629078
"16","oil",0.575051940415581,36.1171686629078
"17","gas",1.13223679875488,66.4428929502574
"18","oxt",0.575051940415581,36.1171686629078
"19","cmt",1.00379235140868,59.3400522709659
"20","omt",0.877743552126495,51.9558824439518
"21","vol",0.719222744861903,42.3865807526949
"22","mil",0.954410231783726,56.1653797155172
"23","pcr",0.681889138714106,39.955279701186
"24","sgr",0.653023215834705,38.3052704752594
"25","ofd",0.801866992180716,47.5506102112984
"26","b_t",0.916328691292418,54.2851458567586
"27","tex",1.10115160514157,65.6275621385364
"28","wap",0.995240782210187,59.0224324942983
"29","lea",0.976324809269188,57.8737774030742
"30","lum",1.0193231593603,60.3485961222968
"31","ppp",1.05277229472559,62.8317016202511
"32","p_c",0.611777199436835,38.2590688094126
"33","chm",0.934134105361505,55.4635731423646
"34","bph",0.915083474853274,54.3452692051263
"35","rpp",0.934134105361505,55.4635731423646
"36","nmm",1.0193231593603,60.3485961222968
"37","i_s",1.0193231593603,60.3485961222968
"38","nfm",1.0193231593603,60.3485961222968
"39","fmp",1.0193231593603,60.3485961222968
"40","ele",1.20682649237524,71.6358266298211
"41","eeq",1.20682649237524,71.6358266298211
"42","ome",1.20682649237524,71.6358266298211
"43","mvh",1.76914401038244,105.234731199485
"44","otn",1.31656765990173,77.9747577667153
"45","omf",1.01945406158234,60.3683306070974
"46","ely",1.07185726135371,62.6145243813675
"47","gdt",1.13223679875488,66.4428929502574
"48","wtr",0.945096306277571,55.9514001072568
"49","cns",0.993787991787615,58.84840273485
"50","trd",1.07659302359942,64.1736020035214
"51","afs",1.21691077389337,72.4110170809779
"52","otp",1.02942223412662,60.7018001878035
"53","wtp",1.0419541805072,63.8154424182078
"54","atp",1.82407705186624,107.526345930126
"55","whs",1.02942223412662,60.7018001878035
"56","cmn",1.04381779881589,62.2535319789152
"57","ofi",1.17620339044476,71.3071565003201
"58","ins",1.49099805587215,89.3275273906478
"59","rsa",1.05944785766797,63.1701699890454
"60","obs",1.06080514760026,63.2487677552752
"61","ros",1.20751051716953,71.6635079698266
"62","osg",1.17793295440921,69.9105624323713
"63","edu",1.2051630411968,71.5186478903215
"64","hht",1.15885331859254,68.7789795045014
"65","dwe",1.06473588763826,63.4849674707759
